Gene ID,AO1,AO2,B1,B2
NVE93,79,65,86,71
NVE253,123,135,560,501
NVE13,3,2,5,7
NVE22,28,26,34,19
NVE38,816,677,837,695
NVE44,641,489,630,482
NVE61,89,91,119,64
NVE106,291,272,308,256
NVE126,320,278,322,265
NVE131,193,171,214,169
NVE143,87,65,72,69
NVE167,6,0,0,0
NVE191,327,360,519,371
NVE202,316,326,330,273
NVE208,55,60,108,82
NVE1,18,19,18,19
NVE2,4,2,1,3
NVE3,2,0,7,4
NVE4,5,1,2,1
NVE5,76,71,110,100
NVE6,616,550,526,413
NVE7,269,230,156,163
NVE8,2,7,1,2
NVE9,81,63,84,84
NVE10,338,290,322,295
NVE11,3,1,3,3
NVE12,2,3,3,3
NVE14,0,0,0,1
NVE15,2,9,130,120
NVE16,0,5,57,36
NVE17,138,119,206,176
NVE18,1555,1624,953,1053
NVE19,970,998,665,541
NVE20,287,254,189,157
NVE21,19,12,14,13
NVE23,219,199,234,195
NVE24,297,303,293,274
NVE25,281,280,376,281
NVE26,146,152,119,121
NVE27,375,357,11,14
NVE28,12,31,12,10
NVE29,129,146,115,94
NVE30,97,99,111,115
NVE31,1328,1288,1257,1178
NVE32,74,67,73,42
NVE33,82,92,407,304
NVE34,23,21,22,22
NVE35,68,61,85,73
NVE36,182,152,224,151
NVE37,395,335,441,336
NVE39,36,43,56,49
NVE40,7,11,12,7
NVE41,389,400,511,393
NVE42,2425,2186,2400,1920
NVE43,604,539,646,539
NVE45,4321,3485,4246,3714
NVE46,12,14,9,4
NVE47,2142,2237,2083,1680
NVE48,703,627,855,783
NVE49,32,42,50,37
NVE50,35,48,40,38
NVE51,764,735,906,734
NVE52,12,19,94,64
NVE53,2,3,4,8
NVE54,29,28,27,24
NVE55,4,0,3,1
NVE56,8,11,3,11
NVE57,98,91,63,54
NVE58,166,144,186,180
NVE59,278,299,348,317
NVE60,1281,1135,947,779
NVE62,65,62,40,38
NVE63,655,629,446,451
NVE64,71,61,38,31
NVE65,564,452,570,431
NVE66,95,61,112,113
NVE67,29,33,39,19
NVE68,57,56,63,56
NVE69,4175,3833,4915,4185
NVE70,45,49,45,28
NVE71,93,88,127,96
NVE72,51,42,41,33
NVE73,38,42,70,68
NVE74,344,316,352,322
NVE75,142,170,69,86
NVE76,1114,972,635,605
NVE77,99,91,127,112
NVE78,168,147,127,98
NVE79,64,63,69,73
NVE80,245,177,247,211
NVE81,121,74,99,57
NVE82,46,49,125,101
NVE83,32,19,22,28
NVE84,0,1,1,1
NVE85,186,161,236,236
NVE86,90,113,124,95
NVE87,17,25,20,14
NVE88,333,287,339,283
NVE89,18,18,148,105
NVE90,6,8,61,45
NVE91,9,3,8,18
NVE92,211,236,150,163
NVE94,8,9,3,7
NVE95,757,769,249,210
NVE96,468,487,313,356
NVE97,75,58,41,55
NVE98,98,77,116,73
NVE99,138,110,71,75
NVE100,146,147,147,137
NVE101,396,341,361,307
NVE102,85,63,84,69
NVE103,351,332,278,248
NVE104,49,36,42,35
NVE105,71,53,78,58
NVE107,146,135,38,38
NVE108,296,279,102,75
NVE109,54,47,83,64
NVE110,139,138,156,135
NVE111,124,102,120,89
NVE112,46,35,28,40
NVE113,5,6,2,1
NVE114,1342,1380,890,762
NVE115,6,3,7,2
NVE116,9,14,35,26
NVE117,14,20,57,50
NVE118,8,6,9,8
NVE119,1,2,4,7
NVE120,1,1,7,8
NVE121,10,8,40,33
NVE122,40,52,91,102
NVE123,50,28,6,34
NVE124,49,54,12,33
NVE125,3,5,2,2
NVE127,884,683,927,764
NVE128,1180,700,1044,846
NVE129,114,100,141,121
NVE130,35,39,42,47
NVE132,79,53,58,49
NVE133,61,61,22,30
NVE134,48,43,32,28
NVE135,3,0,3,3
NVE136,4,3,8,5
NVE137,12,9,9,12
NVE138,7,2,8,5
NVE139,20,23,19,16
NVE140,8,10,19,12
NVE141,384,389,967,832
NVE142,171,152,240,213
NVE144,292,245,472,425
NVE145,5,1,1,2
NVE146,1,1,2,2
NVE147,2,2,2,1
NVE148,314,279,162,156
NVE149,87,71,68,74
NVE150,0,0,5,1
NVE151,127,124,125,146
NVE153,18,8,25,16
NVE154,165,158,229,182
NVE155,121,98,106,91
NVE156,71,41,51,23
NVE157,118,116,117,105
NVE158,1,1,1,1
NVE159,120,108,150,115
NVE160,1140,1212,1810,1433
NVE161,1256,1045,529,500
NVE162,4,3,5,2
NVE163,153,108,30,15
NVE164,175,211,128,58
NVE165,17,4,8,14
NVE166,7,22,15,13
NVE168,847,897,1130,985
NVE169,238,217,231,214
NVE170,174,194,23,16
NVE171,182,172,178,141
NVE172,224,206,258,220
NVE173,172,184,193,147
NVE174,121,101,146,111
NVE175,14,13,26,36
NVE176,245,198,215,196
NVE177,41,47,39,47
NVE178,2,1,1,3
NVE179,12,12,7,2
NVE180,34,26,23,20
NVE181,25,25,22,15
NVE182,22,28,14,19
NVE183,53,58,74,60
NVE184,99,92,62,70
NVE185,17,14,22,28
NVE186,18,10,10,5
NVE187,33,25,28,19
NVE188,3,1,1,3
NVE189,3,4,8,4
NVE190,407,385,431,434
NVE192,105,77,86,89
NVE193,3,28,312,244
NVE194,7,4,2,6
NVE195,29,32,39,26
NVE196,127,115,149,118
NVE197,65,60,45,52
NVE198,18,24,14,26
NVE199,20,12,14,18
NVE200,8,21,8,8
NVE201,14,17,20,21
NVE203,91,95,99,84
NVE204,16,23,62,34
NVE205,432,426,732,560
NVE206,440,449,768,515
NVE207,22,21,21,16
NVE209,156,129,157,162
NVE210,213,186,157,145
NVE211,372,288,294,233
NVE212,458,412,386,348
NVE213,39,38,61,46
NVE214,101,85,149,111
NVE215,469,404,572,496
NVE216,45,32,60,73
NVE217,51,38,64,47
NVE218,761,701,846,816
NVE219,64,69,62,43
NVE220,212,163,214,193
NVE221,11,9,295,188
NVE222,764,670,1073,894
NVE223,261,248,220,184
NVE224,81,96,50,65
NVE225,186,187,299,265
NVE226,3288,3039,1032,903
NVE227,68,103,129,106
NVE228,65,65,101,47
NVE229,13,17,22,16
NVE230,960,692,1249,1095
NVE231,160,179,151,140
NVE232,87,95,104,103
NVE233,59,46,58,46
NVE234,675,677,789,624
NVE235,35,41,132,147
NVE236,337,277,59,40
NVE237,361,420,40,34
NVE238,121,99,153,135
NVE239,50,37,45,47
NVE240,45,59,98,85
NVE241,5,5,5,3
NVE242,1241,1160,2145,1870
NVE243,50,41,102,108
NVE244,9,4,54,41
NVE245,48,37,47,51
NVE246,377,295,505,399
NVE247,290,311,349,323
NVE248,21,19,26,33
NVE249,218,226,457,355
NVE250,581,507,684,597
NVE251,107,92,115,119
NVE252,204,172,347,272
NVE254,40,22,62,43
NVE255,321,262,590,460
NVE256,1,2,4,2
NVE257,0,2,1,1
NVE8086,99,122,185,135
NVE8185,290,261,285,258
NVE7999,1934,1827,1106,854
NVE8012,491,415,436,403
NVE8026,797,731,776,659
NVE8043,2370,2036,2902,2568
NVE8049,1047,1026,1488,1328
NVE8070,625,552,412,449
NVE8095,355,322,351,311
NVE8120,34,23,69,37
NVE8198,28,18,26,20
NVE8231,22,16,11,7
NVE8239,681,659,634,602
NVE8254,133,114,136,116
NVE7984,714,710,851,711
NVE7985,188,220,203,201
NVE7986,30,22,4,6
NVE7987,450,452,489,442
NVE7988,56,63,70,57
NVE7989,28,23,37,34
NVE7990,1,1,4,1
NVE7991,5,1,33,8
NVE7992,19,19,100,87
NVE7993,41,31,138,130
NVE7994,234,215,242,184
NVE7995,545,573,485,361
NVE7996,5068,4701,3967,3471
NVE7997,61,52,61,70
NVE7998,602,523,700,616
NVE8000,241,251,201,124
NVE8001,170,120,209,194
NVE8002,47,42,56,55
NVE8003,55,60,80,57
NVE8004,87,69,77,83
NVE8005,591,547,631,488
NVE8006,37,28,42,37
NVE8007,81,55,185,118
NVE8008,114,66,124,94
NVE8009,1694,1575,224,175
NVE8010,39,35,52,50
NVE8011,46,43,99,81
NVE8013,111,73,93,86
NVE8014,1229,1144,28,13
NVE8015,335,317,421,297
NVE8016,327,322,336,263
NVE8017,31,30,53,55
NVE8018,113,121,219,138
NVE8019,149,124,167,144
NVE8020,1258,1186,1244,1110
NVE8021,49,73,101,96
NVE8022,146,130,175,146
NVE8023,31,16,43,31
NVE8024,434,455,250,273
NVE8025,172,158,132,130
NVE8027,1,0,0,1
NVE8028,105,73,144,120
NVE8029,1129,1119,1349,1169
NVE8030,378,352,69,62
NVE8031,96,90,106,80
NVE8032,4,8,37,44
NVE8033,7,2,7,12
NVE8034,519,402,796,713
NVE8035,30,20,32,33
NVE8036,31,33,39,39
NVE8037,64,53,58,58
NVE8038,40,22,35,32
NVE8039,40,37,63,61
NVE8040,292,244,347,278
NVE8041,165,87,58,42
NVE8042,5,4,2,3
NVE8044,15,9,19,12
NVE8045,20,12,24,18
NVE8046,18,22,35,31
NVE8047,132,118,109,105
NVE8048,6,6,13,10
NVE8050,59,68,76,53
NVE8051,40,126,1340,1121
NVE8052,953,840,924,731
NVE8053,14,24,17,19
NVE8054,2,13,58,64
NVE8055,180,187,261,190
NVE8056,291,269,264,226
NVE8057,61,64,68,76
NVE8058,10,11,45,30
NVE8059,6,12,15,17
NVE8060,41,24,44,30
NVE8061,5,2,3,5
NVE8062,24,26,21,22
NVE8063,27,26,33,27
NVE8064,1394,1223,1782,1417
NVE8065,4,6,4,8
NVE8066,544,380,643,579
NVE8067,195,155,212,175
NVE8068,150,127,229,170
NVE8069,16,6,36,17
NVE8071,2,3,7,8
NVE8072,136,129,134,99
NVE8073,8,5,8,6
NVE8074,2,1,3,2
NVE8075,7,3,23,41
NVE8076,164,202,219,220
NVE8077,58,38,49,44
NVE8078,114,107,59,69
NVE8079,1053,956,1272,1068
NVE8080,359,274,380,331
NVE8081,333,353,552,442
NVE8082,132,141,143,114
NVE8083,278,246,323,279
NVE8084,362,311,284,283
NVE8085,189,168,99,86
NVE8087,270,271,384,340
NVE8088,133,109,90,74
NVE8089,921,586,1084,882
NVE8090,11,11,11,15
NVE8091,99,78,74,58
NVE8092,11,13,21,7
NVE8093,1,2,3,2
NVE8094,38,46,32,25
NVE8096,312,292,289,293
NVE8097,33,40,82,55
NVE8098,303,232,325,282
NVE8099,1,0,22,23
NVE8100,0,0,9,7
NVE8101,7,7,9,14
NVE8102,46,37,41,48
NVE8103,420,390,443,398
NVE8104,109,99,87,73
NVE8105,274,262,312,278
NVE8106,118,118,136,105
NVE8107,97,104,148,111
NVE8108,61,51,92,57
NVE8109,1289,1137,1357,1201
NVE8110,106,117,169,167
